id_client,churn,score_churn,risque_ml
73204065,1,0.5884,Moyen
73204076,1,0.3161,Moyen
73204130,1,0.998,Haut
73204139,0,0.1445,Faible
73204152,0,0.5884,Moyen
73204156,0,0.4263,Moyen
73204214,0,0.3254,Moyen
73204221,1,0.9969,Haut
73204242,1,0.9973,Haut
73204260,1,0.9967,Haut
73204279,0,0.3988,Moyen
73204297,1,0.4537,Moyen
73204313,1,0.382,Moyen
73204334,1,0.9967,Haut
73204364,1,0.9967,Haut
73204402,1,0.9973,Haut
73204459,0,0.0061,Faible
73204479,1,0.9977,Haut
73204488,1,0.9977,Haut
73204515,0,0.3154,Moyen
73204518,1,0.9978,Haut
73204538,1,0.9978,Haut
73204650,0,0.1375,Faible
73204673,1,0.4447,Moyen
73204676,0,0.2511,Faible
73204760,1,0.2511,Faible
73204841,1,0.9977,Haut
73204945,1,0.0751,Faible
73204951,1,0.3468,Moyen
73204967,0,0.0113,Faible
73205173,0,0.2672,Faible
73205201,1,0.6495,Haut
73205212,0,0.0279,Faible
73205268,0,0.2511,Faible
73205310,0,0.2694,Faible
73205316,0,0.1762,Faible
73205317,0,0.1767,Faible
73205347,0,0.3904,Moyen
73205368,0,0.0274,Faible
73205407,0,0.16,Faible
73205421,1,0.3988,Moyen
73205424,0,0.1229,Faible
73205445,0,0.3691,Moyen
73205451,0,0.4263,Moyen
73205453,0,0.0937,Faible
73205475,1,0.1729,Faible
73205478,0,0.0361,Faible
73205491,1,0.9967,Haut
73205562,0,0.3468,Moyen
73205580,1,0.6661,Haut
73205591,0,0.2529,Faible
73205613,1,0.9967,Haut
73205661,0,0.0206,Faible
73205664,1,0.9977,Haut
73205711,0,0.3919,Moyen
73205735,0,0.2511,Faible
73205742,0,0.1769,Faible
73205752,0,0.3423,Moyen
73205808,0,0.3317,Moyen
73205828,0,0.0134,Faible
73205832,1,0.3893,Moyen
73205867,0,0.2779,Faible
73205904,0,0.2694,Faible
73205911,0,0.2225,Faible
73205912,1,0.5884,Moyen
73205920,1,0.9967,Haut
73205923,0,0.0274,Faible
73206007,0,0.0131,Faible
73206021,0,0.5915,Moyen
73206049,0,0.0084,Faible
73206057,0,0.0114,Faible
73206062,0,0.0279,Faible
73206071,0,0.004,Faible
73206088,0,0.0132,Faible
73206121,0,0.0099,Faible
73206122,0,0.0122,Faible
73206127,0,0.0092,Faible
73206136,0,0.0144,Faible
73206138,0,0.0091,Faible
73206145,0,0.0099,Faible
73206152,0,0.0186,Faible
73206161,0,0.1884,Faible
73206166,0,0.0243,Faible
73206205,0,0.0125,Faible
73206235,0,0.0157,Faible
73206252,0,0.0091,Faible
73206273,0,0.0202,Faible
73206278,0,0.0271,Faible
73206288,0,0.0202,Faible
73206294,0,0.0063,Faible
73206326,0,0.3258,Moyen
73206387,1,0.9978,Haut
73206423,0,0.015,Faible
73206440,1,0.9977,Haut
73206463,0,0.3161,Moyen
73206464,1,0.4197,Moyen
73206523,0,0.3232,Moyen
73206586,0,0.1203,Faible
73206590,0,0.2298,Faible
73206623,0,0.0116,Faible
73206626,0,0.01,Faible
73206636,0,0.3615,Moyen
73206662,1,0.7498,Haut
73206672,0,0.0124,Faible
73206813,0,0.1614,Faible
73206820,1,0.621,Haut
73206822,1,0.9978,Haut
73206830,0,0.382,Moyen
73206837,0,0.4186,Moyen
73206866,0,0.5987,Moyen
73206870,1,0.9978,Haut
73206885,0,0.5661,Moyen
73206890,1,0.6661,Haut
73206952,0,0.0125,Faible
73206953,1,0.0103,Faible
73206959,1,0.678,Haut
